,맥주,년,평점
0,ARK Seoulite Ale,2018,2.8833333333333333
1,ARK Seoulite Ale,2019,3.05
2,ARK Seoulite Ale,2020,3.35
3,Asahi Super Dry,2000,2.7000000000000006
4,Asahi Super Dry,2001,2.4857142857142853
5,Asahi Super Dry,2002,2.4011235955056183
6,Asahi Super Dry,2003,2.2265060240963863
7,Asahi Super Dry,2004,2.151190476190475
8,Asahi Super Dry,2005,1.9711340206185564
9,Asahi Super Dry,2006,2.0516483516483524
10,Asahi Super Dry,2007,2.0166666666666653
11,Asahi Super Dry,2008,2.1533333333333347
12,Asahi Super Dry,2009,2.0538461538461545
13,Asahi Super Dry,2010,2.04320987654321
14,Asahi Super Dry,2011,2.226363636363637
15,Asahi Super Dry,2012,2.1257142857142868
16,Asahi Super Dry,2013,2.230952380952381
17,Asahi Super Dry,2014,2.220588235294117
18,Asahi Super Dry,2015,2.133333333333334
19,Asahi Super Dry,2016,2.217142857142857
20,Asahi Super Dry,2017,2.36986301369863
21,Asahi Super Dry,2018,2.5887323943661973
22,Asahi Super Dry,2019,2.410937500000001
23,Asahi Super Dry,2020,2.345945945945947
24,Asahi Super Dry,2021,2.4
25,Asahi Super Dry Black,2012,2.4615384615384617
26,Asahi Super Dry Black,2013,2.375
27,Asahi Super Dry Black,2014,2.6749999999999994
28,Asahi Super Dry Black,2015,2.5000000000000004
29,Asahi Super Dry Black,2016,2.82
30,Asahi Super Dry Black,2017,2.7181818181818183
31,Asahi Super Dry Black,2018,2.7
32,Asahi Super Dry Black,2019,2.8666666666666667
33,Asahi Super Dry Black,2020,2.96
34,Bali Hai Premium Lager,2019,2.4
35,Bavaria 8.6 (Original),2000,2.5
36,Bavaria 8.6 (Original),2001,1.8333333333333333
37,Bavaria 8.6 (Original),2002,2.0769230769230766
38,Bavaria 8.6 (Original),2003,2.2
39,Bavaria 8.6 (Original),2004,2.233333333333333
40,Bavaria 8.6 (Original),2005,2.2076923076923083
41,Bavaria 8.6 (Original),2006,1.976
42,Bavaria 8.6 (Original),2007,2.575
43,Bavaria 8.6 (Original),2008,1.8666666666666665
44,Bavaria 8.6 (Original),2009,2.0785714285714283
45,Bavaria 8.6 (Original),2010,2.1357142857142857
46,Bavaria 8.6 (Original),2011,2.2153846153846155
47,Bavaria 8.6 (Original),2012,2.32
48,Bavaria 8.6 (Original),2013,2.3809523809523814
49,Bavaria 8.6 (Original),2014,1.935
50,Bavaria 8.6 (Original),2015,2.5217391304347827
51,Bavaria 8.6 (Original),2016,2.257142857142858
52,Bavaria 8.6 (Original),2017,2.231578947368421
53,Bavaria 8.6 (Original),2018,2.1
54,Bavaria 8.6 (Original),2019,2.094117647058824
55,Bavaria 8.6 (Original),2020,2.7500000000000004
56,Bavaria 8.6 (Original),2021,2.5
57,Bavaria Pilsener,2000,1.9
58,Bavaria Pilsener,2001,2.8571428571428568
59,Bavaria Pilsener,2002,2.1847457627118634
60,Bavaria Pilsener,2003,2.088636363636364
61,Bavaria Pilsener,2004,1.943478260869565
62,Bavaria Pilsener,2005,2.2245614035087717
63,Bavaria Pilsener,2006,2.2851851851851857
64,Bavaria Pilsener,2007,2.2657534246575346
65,Bavaria Pilsener,2008,2.2781818181818183
66,Bavaria Pilsener,2009,2.135135135135135
67,Bavaria Pilsener,2010,2.173684210526316
68,Bavaria Pilsener,2011,2.159420289855072
69,Bavaria Pilsener,2012,2.1750000000000003
70,Bavaria Pilsener,2013,2.1768292682926824
71,Bavaria Pilsener,2014,2.1378048780487813
72,Bavaria Pilsener,2015,2.151666666666666
73,Bavaria Pilsener,2016,2.37948717948718
74,Bavaria Pilsener,2017,2.107317073170732
75,Bavaria Pilsener,2018,2.626470588235294
76,Bavaria Pilsener,2019,2.2956521739130435
77,Bavaria Pilsener,2020,2.0600000000000005
78,Beck's,2000,2.9181818181818184
79,Beck's,2001,2.5808219178082195
80,Beck's,2002,2.526291079812207
81,Beck's,2003,2.4061643835616424
82,Beck's,2004,2.38896551724138
83,Beck's,2005,2.4118055555555555
84,Beck's,2006,2.3576388888888897
85,Beck's,2007,2.393081761006289
86,Beck's,2008,2.3273809523809543
87,Beck's,2009,2.2099999999999995
88,Beck's,2010,2.2235294117647064
89,Beck's,2011,2.349999999999999
90,Beck's,2012,2.34026845637584
91,Beck's,2013,2.343661971830985
92,Beck's,2014,2.162790697674419
93,Beck's,2015,2.3008620689655177
94,Beck's,2016,2.2919540229885063
95,Beck's,2017,2.2164556962025324
96,Beck's,2018,2.4738461538461545
97,Beck's,2019,2.418
98,Beck's,2020,2.3235294117647065
99,Berliner Kindl Jubiläums Pilsener Premium,2001,1.4666666666666668
100,Berliner Kindl Jubiläums Pilsener Premium,2002,1.85
101,Berliner Kindl Jubiläums Pilsener Premium,2003,3.083333333333333
102,Berliner Kindl Jubiläums Pilsener Premium,2004,2.3833333333333333
103,Berliner Kindl Jubiläums Pilsener Premium,2005,2.4
104,Berliner Kindl Jubiläums Pilsener Premium,2006,2.44
105,Berliner Kindl Jubiläums Pilsener Premium,2007,2.5500000000000003
106,Berliner Kindl Jubiläums Pilsener Premium,2008,2.40625
107,Berliner Kindl Jubiläums Pilsener Premium,2009,2.72
108,Berliner Kindl Jubiläums Pilsener Premium,2010,2.7
109,Berliner Kindl Jubiläums Pilsener Premium,2011,2.476923076923077
110,Berliner Kindl Jubiläums Pilsener Premium,2012,2.8440000000000007
111,Berliner Kindl Jubiläums Pilsener Premium,2013,2.3599999999999994
112,Berliner Kindl Jubiläums Pilsener Premium,2014,2.668
113,Berliner Kindl Jubiläums Pilsener Premium,2015,2.6518518518518523
114,Berliner Kindl Jubiläums Pilsener Premium,2016,2.575999999999999
