,아이디,맥주,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
2,"snoworsummer(8,581)",Kloud Original Gravity,"March 7, 2020",3.0,6,3,6,3,12
4,"GuideDogSaint(2,549)",Kloud Original Gravity,"February 8, 2020",2.2,4,2,5,2,9
5,"deanso(13,380)",Kloud Original Gravity,"January 16, 2020",2.3,4,3,4,3,9
7,"DrNosha(5,865)",Kloud Original Gravity,"December 20, 2019",2.3,4,3,4,3,9
8,"mkel07(8,991)",Kloud Original Gravity,"October 11, 2019",2.4,5,2,5,2,10
10,"Viper666.Qc(10,484)",Kloud Original Gravity,"September 6, 2019",2.7,5,3,6,3,10
11,rja(731),Kloud Original Gravity,"August 16, 2019",2.2,4,2,4,2,10
14,"douglas88(11,585)",Kloud Original Gravity,"July 8, 2019",2.9,5,3,6,3,12
15,hehe_papiesz_xd(258),Kloud Original Gravity,"July 8, 2019",2.5,5,2,5,3,10
16,"obguthr(9,661)",Kloud Original Gravity,"May 29, 2019",2.7,7,3,5,3,9
17,Boxereddy(618),Kloud Original Gravity,"April 28, 2019",2.7,5,3,5,3,11
18,"shrubber85(13,167)",Kloud Original Gravity,"March 25, 2019",2.4,4,3,5,3,9
19,"Sven1973(1,296)",Kloud Original Gravity,"March 19, 2019",1.5,4,3,2,2,4
20,"berkshirejohn(8,420)",Kloud Original Gravity,"February 26, 2019",2.9,6,4,6,3,10
22,"Davhgbrew(1,071)",Kloud Original Gravity,"February 15, 2019",3.1,5,3,7,4,12
23,"Ferris(23,110)",Kloud Original Gravity,"January 30, 2019",2.6,5,3,5,3,10
24,"kiwianer(4,070)",Kloud Original Gravity,"January 10, 2019",2.0,4,2,4,2,8
25,"jrodooo5(2,292)",Kloud Original Gravity,"December 7, 2018",2.4,5,2,6,3,8
26,"Luvystypotables(2,586)",Kloud Original Gravity,"November 26, 2018",3.1,6,3,6,3,13
27,HighSparkDiesel(597),Kloud Original Gravity,"November 8, 2018",2.0,5,3,4,2,6
28,"Piepenhenrich(2,457)",Kloud Original Gravity,"October 5, 2018",2.2,4,4,6,3,5
29,futre7(339),Kloud Original Gravity,"September 14, 2018",2.8,4,3,5,3,13
30,"kermis(18,397)",Kloud Original Gravity,"August 15, 2018",1.7,3,3,3,2,6
31,"Cimbasso(1,754)",Kloud Original Gravity,"August 4, 2018",1.8,3,3,4,2,6
33,"daniele(12,901)",Kloud Original Gravity,"July 31, 2018",2.3,5,3,4,2,9
35,OnTheTrail(947),Kloud Original Gravity,"June 24, 2018",3.0,6,3,6,3,12
36,"TBone(23,237)",Kloud Original Gravity,"June 21, 2018",1.6,3,2,3,2,6
37,"labeerinthum(4,892)",Kloud Original Gravity,"May 9, 2018",2.2,5,3,4,3,7
38,"nimbleprop(11,872)",Kloud Original Gravity,"April 27, 2018",2.4,5,3,5,2,9
40,"mile(4,635)",Kloud Original Gravity,"April 1, 2018",1.7,3,2,4,2,6
41,miggle(583),Kloud Original Gravity,"February 26, 2018",1.9,3,4,3,2,7
42,"maekchu(5,126)",Kloud Original Gravity,"January 31, 2018",2.1,4,3,4,3,7
44,"solidfunk(14,403)",Kloud Original Gravity,"January 28, 2018",0.9,1,2,2,1,3
45,"bytemesis(12,183)",Kloud Original Gravity,"January 23, 2018",1.8,3,3,3,3,6
46,"TychoJames(2,981)",Kloud Original Gravity,"December 17, 2017",2.3,5,2,5,2,9
47,"FunkyF(2,494)",Kloud Original Gravity,"December 17, 2017",2.2,4,3,5,2,8
48,"jmgreenuk(14,585)",Kloud Original Gravity,"November 21, 2017",1.7,3,2,3,2,7
49,"YantarCoast(3,141)",Kloud Original Gravity,"October 7, 2017",2.6,6,4,5,3,8
50,"Tide(7,910)",Kloud Original Gravity,"October 6, 2017",2.8,5,4,5,2,12
51,"Sledutah(9,567)",Kloud Original Gravity,"October 2, 2017",2.7,5,3,5,2,12
52,kdd230(107),Kloud Original Gravity,"August 23, 2017",2.1,4,3,4,3,7
53,Shanebrews(315),Kloud Original Gravity,"August 17, 2017",1.6,2,2,3,2,7
54,"Listigovers(2,146)",Kloud Original Gravity,"August 6, 2017",2.4,4,2,5,3,10
55,"Benzai(20,022)",Kloud Original Gravity,"August 3, 2017",2.8,5,3,6,2,12
56,"floydian1(1,833)",Kloud Original Gravity,"July 22, 2017",1.3,2,2,2,2,5
57,"yy0pp(1,664)",Kloud Original Gravity,"June 22, 2017",2.4,4,3,4,3,10
58,"Piw(2,007)",Kloud Original Gravity,"June 10, 2017",2.6,4,3,4,2,13
59,"Oakes(25,346)",Kloud Original Gravity,"January 14, 2020",1.3,2,2,3,1,5
60,"StevieT(2,007)",Kloud Original Gravity,"May 19, 2017",2.2,4,3,4,3,8
61,"KyotoLefty(13,925)",Kloud Original Gravity,"April 2, 2017",3.1,6,3,6,3,13
62,"Renobob(2,063)",Kloud Original Gravity,"March 26, 2017",1.0,2,2,2,1,3
63,"Bif(2,874)",Kloud Original Gravity,"February 20, 2017",2.1,4,3,4,2,8
64,"Pyobon(2,136)",Kloud Original Gravity,"January 7, 2017",2.9,6,2,6,3,12
65,"radagast83(10,767)",Kloud Original Gravity,"January 2, 2017",2.3,4,3,4,3,9
66,"WVHouseofBeer(1,152)",Kloud Original Gravity,"December 17, 2016",1.7,2,2,3,2,8
67,"GoufCustom(2,895)",Kloud Original Gravity,"December 12, 2016",3.1,7,4,6,3,11
69,"jamaty(2,548)",Kloud Original Gravity,"September 4, 2016",2.3,4,3,5,2,9
71,"explosivedog(6,047)",Kloud Original Gravity,"July 22, 2016",2.5,6,3,5,3,8
72,"TedE(2,324)",Kloud Original Gravity,"July 16, 2016",2.7,4,4,4,3,12
73,"Ktwse(6,833)",Kloud Original Gravity,"July 12, 2016",2.3,4,2,5,2,10
74,"GTAEgeek(4,189)",Kloud Original Gravity,"July 11, 2016",2.4,3,3,5,1,12
75,"Defreni(4,268)",Kloud Original Gravity,"June 27, 2016",2.8,5,3,5,3,12
76,"Palme(5,032)",Kloud Original Gravity,"June 24, 2016",2.1,4,3,3,3,8
77,UFleku(55),Kloud Original Gravity,"June 14, 2016",2.4,5,3,5,2,9
78,"JaKeAFC(1,745)",Kloud Original Gravity,"June 12, 2016",2.3,5,3,4,2,9
